Load address: $4200 Init address: $4ED3 Play address: $4EDF
Calling initroutine with subtune 0
Calling playroutine for 3000 frames, starting from frame 0
Middle C frequency is $1168

| Frame | Freq Note/Abs WF ADSR Pul | Freq Note/Abs WF ADSR Pul | Freq Note/Abs WF ADSR Pul | FCut RC Typ V |
|    43 | ....  ... ..  .. .... 1C0 | ....  ... ..  .. .... 880 | ....  ... ..  .. .... A60 | B400 .. ... . |
|    44 | ....  ... ..  .. .... 200 | ....  ... ..  .. .... ... | ....  ... ..  .. .... A00 | B600 .. ... . |
|    45 | 1F1E (+ 001B) 10 .... 240 | 0F8E (+ 000D) 10 .... ... | ....  ... ..  40 .... 9A0 | B800 .. ... . |
|    46 | 1F39 (+ 001B) .. .... 280 | 0F9B (+ 000D) .. .... ... | ....  ... ..  .. .... 940 | BA00 .. ... . |
|    47 | 1F1E (- 001B) .. .... 2C0 | 0F8E (- 000D) .. .... ... | ....  ... ..  .. .... 8E0 | BC00 .. ... . |
|    48 | 0938  C#3 A5  11 .... 100 | 14B2  D#4 B3  11 .... 800 | 2965  D#5 BF  41 .... A00 | .... .. ... . |
|    49 | ....  ... ..  .. .... 1C0 | ....  ... ..  .. .... 880 | ....  ... ..  .. .... A60 | BE00 .. ... . |
|    50 | ....  ... ..  .. .... 200 | ....  ... ..  .. .... ... | ....  ... ..  .. .... A00 | C000 .. ... . |
|    51 | 0940 (+ 0008) 10 .... 240 | 14C4 (+ 0012) 10 .... ... | ....  ... ..  40 .... 9A0 | C200 .. ... . |
|    52 | 0948 (+ 0008) .. .... 280 | 14D6 (+ 0012) .. .... ... | ....  ... ..  .. .... 940 | C400 .. ... . |
|    53 | 0940 (- 0008) .. .... 2C0 | 14C4 (- 0012) .. .... ... | ....  ... ..  .. .... 8E0 | C600 .. ... . |
|    54 | 0F81  A#3 AE  11 .... 100 | 14B2 (- 0012) 40 .... ... | ....  ... ..  .. .... 880 | C800 .. ... . |
|    55 | ....  ... ..  .. .... 1C0 | 14A0 (- 0012) .. .... ... | ....  ... ..  .. .... 840 | CA00 .. ... . |
|    56 | ....  ... ..  .. .... 200 | 148E (- 0012) .. .... ... | ....  ... ..  .. .... 800 | CC00 .. ... . |
|    57 | 0F8E (+ 000D) 10 .... 240 | 14A0 (+ 0012) .. .... ... | ....  ... ..  .. .... 7C0 | CE00 .. ... . |
|    58 | 0F9B (+ 000D) .. .... 280 | 14B2 (+ 0012) .. .... ... | 29F9 (+ 0094) .. .... 780 | D000 .. ... . |
|    59 | 0F8E (- 000D) .. .... 2C0 | 14C4 (+ 0012) .. .... ... | 2A8D (+ 0094) .. .... 740 | D200 .. ... . |
|    60 | 14B2  D#4 B3  11 .... 100 | 1270  C#4 B1  11 .... 800 | 24E1  C#5 BD  41 .... A00 | .... .. ... . |
|    61 | ....  ... ..  .. .... 1C0 | ....  ... ..  .. .... 880 | ....  ... ..  .. .... A60 | D400 .. ... . |
|    62 | ....  ... ..  .. .... 200 | ....  ... ..  .. .... ... | ....  ... ..  .. .... A00 | D600 .. ... . |
|    63 | 14C4 (+ 0012) 10 .... 240 | 1280 (+ 0010) 10 .... ... | ....  ... ..  40 .... 9A0 | D800 .. ... . |
|    64 | 14D6 (+ 0012) .. .... 280 | 1290 (+ 0010) .. .... ... | ....  ... ..  .. .... 940 | DA00 .. ... . |
|    65 | 14C4 (- 0012) .. .... 2C0 | 1280 (- 0010) .. .... ... | ....  ... ..  .. .... 8E0 | DC00 .. ... . |
|    66 | 14B2 (- 0012) 40 .... 300 | 0F81  A#3 AE  11 .... 800 | 1F03  A#4 BA  41 .... A00 | .... .. ... . |
|    67 | 14A0 (- 0012) .. .... 340 | ....  ... ..  .. .... 880 | ....  ... ..  .. .... A60 | DE00 .. ... . |
|    68 | 148E (- 0012) .. .... 380 | ....  ... ..  .. .... ... | ....  ... ..  .. .... A00 | E000 .. ... . |
|    69 | 14A0 (+ 0012) .. .... 3C0 | 0F8E (+ 000D) 10 .... ... | ....  ... ..  40 .... 9A0 | E200 .. ... . |
|    70 | 14B2 (+ 0012) .. .... 400 | 0F9B (+ 000D) .. .... ... | ....  ... ..  .. .... 940 | E400 .. ... . |
|    71 | 14C4 (+ 0012) .. .... 440 | 0F8E (- 000D) .. .... ... | ....  ... ..  .. .... 8E0 | E600 .. ... . |
|    72 | 1270  C#4 B1  11 .... 100 | 0DD0  G#3 AC  11 .... 800 | 1BA0  G#4 B8  41 .... A00 | .... .. ... . |
|    73 | ....  ... ..  .. .... 1C0 | ....  ... ..  .. .... 880 | ....  ... ..  .. .... A60 | E800 .. ... . |
|    74 | ....  ... ..  .. .... 200 | ....  ... ..  .. .... ... | ....  ... ..  .. .... A00 | EA00 .. ... . |
|    75 | 1280 (+ 0010) 10 .... 240 | 0DDC (+ 000C) 10 .... ... | ....  ... ..  40 .... 9A0 | EC00 .. ... . |
|    76 | 1290 (+ 0010) .. .... 280 | 0DE8 (+ 000C) .. .... ... | ....  ... ..  .. .... 940 | EE00 .. ... . |
|    77 | 1280 (- 0010) .. .... 2C0 | 0DDC (- 000C) .. .... ... | ....  ... ..  .. .... 8E0 | F000 .. ... . |
|    78 | 0F81  A#3 AE  11 .... 100 | 0C4E  F#3 AA  11 .... 800 | 189D  F#4 B6  41 .... A00 | .... .. ... . |
|    79 | ....  ... ..  .. .... 1C0 | ....  ... ..  .. .... 880 | ....  ... ..  .. .... A60 | EE00 .. ... . |
|    80 | ....  ... ..  .. .... 200 | ....  ... ..  .. .... ... | ....  ... ..  .. .... A00 | EC00 .. ... . |
|    81 | 0F8E (+ 000D) 10 .... 240 | 0C59 (+ 000B) 10 .... ... | ....  ... ..  40 .... 9A0 | EA00 .. ... . |
|    82 | 0F9B (+ 000D) .. .... 280 | 0C64 (+ 000B) .. .... ... | ....  ... ..  .. .... 940 | E800 .. ... . |
|    83 | 0F8E (- 000D) .. .... 2C0 | 0C59 (- 000B) .. .... ... | ....  ... ..  .. .... 8E0 | E600 .. ... . |
|    84 | 0DD0  G#3 AC  11 .... 100 | 0A59  D#3 A7  11 .... 800 | 14B2  D#4 B3  41 .... A00 | .... .. ... . |
|    85 | ....  ... ..  .. .... 1C0 | ....  ... ..  .. .... 880 | ....  ... ..  .. .... A60 | E400 .. ... . |
|    86 | ....  ... ..  .. .... 200 | ....  ... ..  .. .... ... | ....  ... ..  .. .... A00 | E200 .. ... . |
|    87 | 0DDC (+ 000C) 10 .... 240 | 0A62 (+ 0009) 10 .... ... | ....  ... ..  40 .... 9A0 | E000 .. ... . |
|    88 | 0DE8 (+ 000C) .. .... 280 | 0A6B (+ 0009) .. .... ... | ....  ... ..  .. .... 940 | DE00 .. ... . |
|    89 | 0DDC (- 000C) .. .... 2C0 | 0A62 (- 0009) .. .... ... | ....  ... ..  .. .... 8E0 | DC00 .. ... . |
|    90 | 0C4E  F#3 AA  11 .... 100 | 0DD0  G#3 AC  11 .... 800 | 1BA0  G#4 B8  41 .... A00 | .... .. ... . |
|    91 | ....  ... ..  .. .... 1C0 | ....  ... ..  .. .... 880 | ....  ... ..  .. .... A60 | DA00 .. ... . |
|    92 | ....  ... ..  .. .... 200 | ....  ... ..  .. .... ... | ....  ... ..  .. .... A00 | D800 .. ... . |
|    93 | 0C59 (+ 000B) 10 .... 240 | 0DDC (+ 000C) 10 .... ... | ....  ... ..  40 .... 9A0 | D600 .. ... . |
|    94 | 0C64 (+ 000B) .. .... 280 | 0DE8 (+ 000C) .. .... ... | ....  ... ..  .. .... 940 | D400 .. ... . |
|    95 | 0C59 (- 000B) .. .... 2C0 | 0DDC (- 000C) .. .... ... | ....  ... ..  .. .... 8E0 | D200 .. ... . |
|    96 | ....  ... ..  .. .... ... | 14B2  D#4 B3  11 .... 800 | 2965  D#5 BF  41 .... A00 | .... .. ... . |
|    97 | 0C4E (- 000B) 40 .... 300 | ....  ... ..  .. .... 880 | ....  ... ..  .. .... A60 | D000 .. ... . |
|    98 | 0C43 (- 000B) .. .... 340 | ....  ... ..  .. .... ... | ....  ... ..  .. .... A00 | CE00 .. ... . |
|    99 | 0C38 (- 000B) .. .... 380 | 14C4 (+ 0012) 10 .... ... | ....  ... ..  40 .... 9A0 | CC00 .. ... . |
|   100 | 0C43 (+ 000B) .. .... 3C0 | 14D6 (+ 0012) .. .... ... | ....  ... ..  .. .... 940 | CA00 .. ... . |
|   101 | 0C4E (+ 000B) .. .... 400 | 14C4 (- 0012) .. .... ... | ....  ... ..  .. .... 8E0 | C800 .. ... . |
|   102 | 0C59 (+ 000B) .. .... 440 | 14B2 (- 0012) 40 .... ... | ....  ... ..  .. .... 880 | C600 .. ... . |
|   103 | 0C64 (+ 000B) .. .... 480 | 14A0 (- 0012) .. .... ... | ....  ... ..  .. .... 840 | C400 .. ... . |
|   104 | 0C59 (- 000B) .. .... 4C0 | 148E (- 0012) .. .... ... | ....  ... ..  .. .... 800 | C200 .. ... . |
|   105 | 0C4E (- 000B) .. .... 500 | 14A0 (+ 0012) .. .... ... | ....  ... ..  .. .... 7C0 | C000 .. ... . |
|   106 | 0C43 (- 000B) .. .... 540 | 14B2 (+ 0012) .. .... ... | 29F9 (+ 0094) .. .... 780 | BE00 .. ... . |
|   107 | 0C38 (- 000B) .. .... 580 | 14C4 (+ 0012) .. .... ... | 2A8D (+ 0094) .. .... 740 | BC00 .. ... . |
|   108 | 14B2  D#4 B3  11 .... 100 | 1270  C#4 B1  11 .... 800 | 24E1  C#5 BD  41 .... A00 | .... .. ... . |
|   109 | ....  ... ..  .. .... 1C0 | ....  ... ..  .. .... 880 | ....  ... ..  .. .... A60 | BA00 .. ... . |
|   110 | ....  ... ..  .. .... 200 | ....  ... ..  .. .... ... | ....  ... ..  .. .... A00 | B800 .. ... . |
|   111 | 14C4 (+ 0012) 10 .... 240 | 1280 (+ 0010) 10 .... ... | ....  ... ..  40 .... 9A0 | B600 .. ... . |
|   112 | 14D6 (+ 0012) .. .... 280 | 1290 (+ 0010) .. .... ... | ....  ... ..  .. .... 940 | B400 .. ... . |
|   113 | 14C4 (- 0012) .. .... 2C0 | 1280 (- 0010) .. .... ... | ....  ... ..  .. .... 8E0 | B200 .. ... . |
|   114 | 14B2 (- 0012) 40 .... 300 | 1270 (- 0010) 40 .... ... | ....  ... ..  .. .... 880 | B000 .. ... . |
|   115 | 14A0 (- 0012) .. .... 340 | 1260 (- 0010) .. .... ... | ....  ... ..  .. .... 840 | AE00 .. ... . |
|   116 | 148E (- 0012) .. .... 380 | 1250 (- 0010) .. .... ... | ....  ... ..  .. .... 800 | AC00 .. ... . |
|   117 | 14A0 (+ 0012) .. .... 3C0 | 1260 (+ 0010) .. .... ... | ....  ... ..  .. .... 7C0 | AA00 .. ... . |
|   118 | 14B2 (+ 0012) .. .... 400 | 1270 (+ 0010) .. .... ... | 2565 (+ 0084) .. .... 780 | A800 .. ... . |
|   119 | 14C4 (+ 0012) .. .... 440 | 1280 (+ 0010) .. .... ... | 25E9 (+ 0084) .. .... 740 | A600 .. ... . |
|   120 | 1270  C#4 B1  11 .... 100 | 0DD0  G#3 AC  11 .... 800 | 1BA0  G#4 B8  41 .... A00 | .... .. ... . |
|   121 | ....  ... ..  .. .... 1C0 | ....  ... ..  .. .... 880 | ....  ... ..  .. .... A60 | A400 .. ... . |
|   122 | ....  ... ..  .. .... 200 | ....  ... ..  .. .... ... | ....  ... ..  .. .... A00 | A200 .. ... . |
|   123 | 1280 (+ 0010) 10 .... 240 | 0DDC (+ 000C) 10 .... ... | ....  ... ..  40 .... 9A0 | A000 .. ... . |
|   124 | 1290 (+ 0010) .. .... 280 | 0DE8 (+ 000C) .. .... ... | ....  ... ..  .. .... 940 | 9E00 .. ... . |
|   125 | 1280 (- 0010) .. .... 2C0 | 0DDC (- 000C) .. .... ... | ....  ... ..  .. .... 8E0 | 9C00 .. ... . |
|   126 | 1270 (- 0010) 40 .... 300 | 0F81  A#3 AE  11 .... 800 | 1F03  A#4 BA  41 .... A00 | .... .. ... . |
|   127 | 1260 (- 0010) .. .... 340 | ....  ... ..  .. .... 880 | ....  ... ..  .. .... A60 | 9A00 .. ... . |
|   128 | 1250 (- 0010) .. .... 380 | ....  ... ..  .. .... ... | ....  ... ..  .. .... A00 | 9800 .. ... . |
|   129 | 1260 (+ 0010) .. .... 3C0 | 0F8E (+ 000D) 10 .... ... | ....  ... ..  40 .... 9A0 | 9600 .. ... . |
