Load address: $5000 Init address: $5FB2 Play address: $5012
Calling initroutine with subtune 0
Calling playroutine for 3000 frames, starting from frame 0
Middle C frequency is $1168

| Frame | Freq Note/Abs WF ADSR Pul | Freq Note/Abs WF ADSR Pul | Freq Note/Abs WF ADSR Pul | FCut RC Typ V |
|    43 | 3A8C (A-5 C5) .. .... ... | 2BD6 (E-5 C0) .. .... ... | ....  ... ..  .. .... 1FE | .... .. ... . |
|    44 | 1D46 (A-4 B9) .. .... ... | 15EB (E-4 B4) .. .... ... | ....  ... ..  .. .... 114 | .... .. ... . |
|    45 | 3A8C (A-5 C5) .. 0000 ... | 2BD6 (E-5 C0) .. 0000 ... | ....  ... ..  40 0000 12A | .... .. ... . |
|    46 | 1D46 (A-4 B9) .. .... ... | 15EB (E-4 B4) .. .... ... | ....  ... ..  .. .... 140 | .... .. ... . |
|    47 | 3A8C (A-5 C5) .. .... ... | 2BD6 (E-5 C0) .. .... ... | ....  ... ..  .. .... 156 | .... .. ... . |
|    48 | 1D46  A-4 B9  41 064B ... | 1739  F-4 B5  41 064B ... | 03A9  A-1 95  41 099F ... | .... .. ... . |
|    49 | 3A8C (A-5 C5) 80 .... ... | 2E72 (F-5 C1) 80 .... ... | ....  ... ..  .. .... 16C | .... .. ... . |
|    50 | 1D46 (A-4 B9) .. .... ... | 1739 (F-4 B5) .. .... ... | ....  ... ..  .. .... 182 | .... .. ... . |
|    51 | 3A8C (A-5 C5) 40 .... ... | 2E72 (F-5 C1) 40 .... ... | ....  ... ..  .. .... 198 | .... .. ... . |
|    52 | 1D46 (A-4 B9) .. .... ... | 1739 (F-4 B5) .. .... ... | ....  ... ..  .. .... 1AE | .... .. ... . |
|    53 | 3A8C (A-5 C5) .. .... ... | 2E72 (F-5 C1) .. .... ... | ....  ... ..  .. .... 1C4 | .... .. ... . |
|    54 | 1D46 (A-4 B9) .. .... ... | 1739 (F-4 B5) .. .... ... | ....  ... ..  .. .... 1DA | .... .. ... . |
|    55 | 3A8C (A-5 C5) .. .... ... | 2E72 (F-5 C1) .. .... ... | ....  ... ..  .. .... 1F0 | .... .. ... . |
|    56 | 1D46 (A-4 B9) .. .... ... | 1739 (F-4 B5) .. .... ... | ....  ... ..  .. .... 106 | .... .. ... . |
