Load address: $A400 Init address: $BFC0 Play address: $BFE0
Calling initroutine with subtune 0
Calling playroutine for 3000 frames, starting from frame 0
Middle C frequency is $1168

| Frame | Freq Note/Abs WF ADSR Pul | Freq Note/Abs WF ADSR Pul | Freq Note/Abs WF ADSR Pul | FCut RC Typ V |
|    49 | 2C2E (+ 00FA) .. .... ... | ....  ... ..  .. .... ... | ....  ... ..  .. .... ... | .... .. ... . |
|    50 | 2D28 (+ 00FA) .. .... ... | ....  ... ..  .. .... ... | ....  ... ..  .. .... ... | .... .. ... . |
|    51 | 2E22 (F-5 C1) .. .... ... | ....  ... ..  .. .... ... | ....  ... ..  .. .... ... | .... .. ... . |
|    52 | 2D28 (E-5 C0) .. .... ... | ....  ... ..  .. .... ... | ....  ... ..  .. .... ... | .... .. ... . |
|    53 | 2C2E (- 00FA) .. .... ... | ....  ... ..  .. .... ... | ....  ... ..  .. .... ... | .... .. ... . |
|    54 | 2B34 (- 00FA) .. .... 864 | ....  ... ..  .. .... ... | ....  ... ..  .. .... ... | .... .. ... . |
|    55 | 2B70 (+ 003C) 20 .... 8C8 | ....  ... ..  .. .... ... | ....  ... ..  .. .... ... | .... .. ... . |
|    56 | 2BAC (+ 003C) .. .... 92C | ....  ... ..  .. .... ... | ....  ... ..  .. .... ... | .... .. ... . |
|    57 | 2BE8 (+ 003C) .. .... 990 | ....  ... ..  .. .... ... | ....  ... ..  .. .... ... | .... .. ... . |
|    58 | 2BAC (- 003C) .. .... 9F4 | ....  ... ..  .. .... ... | ....  ... ..  .. .... ... | .... .. ... . |
|    59 | 2B70 (- 003C) .. .... A58 | ....  ... ..  .. .... ... | ....  ... ..  .. .... ... | .... .. ... . |
|    60 | 2B34 (- 003C) .. .... ABC | ....  ... ..  .. .... ... | ....  ... ..  .. .... ... | .... .. ... . |
|    61 | ....  ... ..  .. .... B20 | ....  ... ..  .. .... ... | ....  ... ..  .. .... ... | .... .. ... . |
|    62 | ....  ... ..  .. .... B84 | ....  ... ..  .. .... ... | ....  ... ..  .. .... ... | .... .. ... . |
|    63 | ....  ... ..  .. .... BE8 | ....  ... ..  .. .... ... | ....  ... ..  .. .... ... | .... .. ... . |
|    64 | ....  ... ..  .. .... C4C | ....  ... ..  .. .... ... | ....  ... ..  .. .... ... | .... .. ... . |
|    65 | ....  ... ..  .. .... CB0 | ....  ... ..  .. .... ... | ....  ... ..  .. .... ... | .... .. ... . |
|    66 | ....  ... ..  .. .... D14 | ....  ... ..  .. .... ... | ....  ... ..  .. .... ... | .... .. ... . |
|    67 | ....  ... ..  .. .... D78 | ....  ... ..  .. .... ... | ....  ... ..  .. .... ... | .... .. ... . |
|    68 | ....  ... ..  .. .... DDC | ....  ... ..  .. .... ... | ....  ... ..  .. .... ... | .... .. ... . |
|    69 | ....  ... ..  .. .... E40 | ....  ... ..  .. .... ... | ....  ... ..  .. .... ... | .... .. ... . |
|    70 | ....  ... ..  .. .... EA4 | ....  ... ..  .. .... ... | ....  ... ..  .. .... ... | .... .. ... . |
|    71 | ....  ... ..  .. .... F08 | ....  ... ..  .. .... ... | ....  ... ..  .. .... ... | .... .. ... . |
|    72 | ....  ... ..  .. .... F6C | ....  ... ..  .. .... ... | ....  ... ..  .. .... ... | .... .. ... . |
|    73 | ....  ... ..  .. .... FD0 | ....  ... ..  .. .... ... | ....  ... ..  .. .... ... | .... .. ... . |
|    74 | ....  ... ..  .. .... 034 | ....  ... ..  .. .... ... | ....  ... ..  .. .... ... | .... .. ... . |
|    75 | 0000  ... ..  00 0000 000 | ....  ... ..  .. .... ... | ....  ... ..  .. .... ... | .... .. ... . |
|    76 | ....  ... ..  .. .... ... | ....  ... ..  .. .... ... | ....  ... ..  .. .... ... | .... .. ... . |
|    77 | ....  ... ..  .. .... ... | ....  ... ..  .. .... ... | ....  ... ..  .. .... ... | .... .. ... . |
|    78 | ....  ... ..  .. .... ... | ....  ... ..  .. .... ... | ....  ... ..  .. .... ... | .... .. ... . |
|    79 | ....  ... ..  .. .... ... | ....  ... ..  .. .... ... | ....  ... ..  .. .... ... | .... .. ... . |
|    80 | ....  ... ..  .. .... ... | ....  ... ..  .. .... ... | ....  ... ..  .. .... ... | .... .. ... . |
|    81 | ....  ... ..  .. .... ... | ....  ... ..  .. .... ... | ....  ... ..  .. .... ... | .... .. ... . |
