Load address: $8000 Init address: $8000 Play address: $8003
Calling initroutine with subtune 0
Calling playroutine for 3000 frames, starting from frame 0
Middle C frequency is $1168

| Frame | Freq Note/Abs WF ADSR Pul | Freq Note/Abs WF ADSR Pul | Freq Note/Abs WF ADSR Pul | FCut RC Typ V |
|    41 | 4CED (D-6 CA) .. .... B40 | ....  ... ..  .. .... ... | ....  ... ..  .. .... ... | .... .. ... . |
|    42 | 5095 (D#6 CB) .. .... B49 | 4816 (C#6 C9) 80 .... ... | 4116 (B-5 C7) 80 .... ... | .... .. ... . |
|    43 | 4CED (D-6 CA) .. .... B52 | ....  ... ..  .. .... ... | 0916 (C#3 A5) 40 .... ... | .... .. ... . |
|    44 | 4945 (C#6 C9) .. .... B5B | 1BA0  G#4 B8  41 0A0A 848 | 0716 (G#2 A0) .. .... ... | .... .. ... . |
|    45 | 459D (C-6 C8) .. .... C84 | 3741 (G#5 C4) .. .... 8D8 | 0516 (D#2 9B) .. .... ... | .... .. ... . |
|    46 | 41EA (B-5 C7) .. .... DAD | 2953 (D#5 BF) .. .... 968 | ....  ... ..  .. .... ... | .... .. ... . |
|    47 | 3E37 (A#5 C6) .. .... ED6 | 20DB (B-4 BB) 40 .... 9F8 | 4116 (B-5 C7) 80 .... ... | .... .. ... . |
|    48 | 3A84 (A-5 C5) .. .... FFF | 1BA0 (G#4 B8) .. .... A88 | 0916 (C#3 A5) 40 .... ... | .... .. ... . |
|    49 | ....  ... ..  .. .... ... | 3741 (G#5 C4) .. .... B18 | ....  ... ..  .. .... ... | .... .. ... . |
|    50 | 22CF  C-5 BC  15 .... 099 | 2953 (D#5 BF) .. .... BA8 | 0116  C-0 80  41 .... ... | .... .. ... . |
|    51 | ....  ... ..  .. .... 1C2 | 20DB (B-4 BB) .. .... C38 | 4116 (B-5 C7) 81 .... ... | .... .. ... . |
|    52 | 2558 (C#5 BD) .. .... 2EB | 1BA0 (G#4 B8) .. .... CC8 | 0916 (C#3 A5) 41 .... ... | .... .. ... . |
|    53 | 27E1 (D-5 BE) 14 .... 414 | 3741 (G#5 C4) .. .... D58 | 0716 (G#2 A0) 40 .... ... | .... .. ... . |
|    54 | 2A6A (D#5 BF) .. .... 53D | 2953 (D#5 BF) .. .... CC8 | 0516 (D#2 9B) .. .... ... | .... .. ... . |
|    55 | 27E1 (D-5 BE) .. .... 666 | 20DB (B-4 BB) .. .... C38 | ....  ... ..  .. .... ... | .... .. ... . |
|    56 | 2558 (C#5 BD) .. .... 78F | 1BA0 (G#4 B8) .. .... BA8 | 4116 (B-5 C7) 80 .... ... | .... .. ... . |
|    57 | 22CF (C-5 BC) .. .... 8B8 | 3741 (G#5 C4) .. .... B18 | 0916 (C#3 A5) 40 .... ... | .... .. ... . |
|    58 | 203B (B-4 BB) .. .... 9E1 | 2953 (D#5 BF) .. .... A88 | 0716 (G#2 A0) .. .... ... | .... .. ... . |
|    59 | 1DA7 (A-4 B9) .. .... B0A | 20DB (B-4 BB) .. .... 9F8 | 0516 (D#2 9B) .. .... ... | .... .. ... . |
|    60 | 1B13 (G#4 B8) .. .... B13 | 1BA0 (G#4 B8) .. .... 968 | ....  ... ..  .. .... ... | .... .. ... . |
|    61 | 1DA7 (A-4 B9) .. .... B1C | ....  ... ..  .. .... ... | 4116 (B-5 C7) 80 .... ... | .... .. ... . |
|    62 | 203B (B-4 BB) .. .... B25 | 1BA0  G#4 B8  41 .... 848 | 0916 (C#3 A5) 40 .... ... | .... .. ... . |
|    63 | 22CF (C-5 BC) .. .... B2E | 3741 (G#5 C4) .. .... 8D8 | 0716 (G#2 A0) .. .... ... | .... .. ... . |
|    64 | 256E (C#5 BD) .. .... B37 | 2953 (D#5 BF) .. .... 968 | 0516 (D#2 9B) .. .... ... | .... .. ... . |
|    65 | 280D (D-5 BE) .. .... B40 | 20DB (B-4 BB) 40 .... 9F8 | ....  ... ..  .. .... ... | .... .. ... . |
|    66 | 2AAC (E-5 C0) .. .... B49 | 1BA0 (G#4 B8) .. .... A88 | 4116 (B-5 C7) 80 .... ... | .... .. ... . |
|    67 | 280D (D-5 BE) .. .... B52 | 3741 (G#5 C4) .. .... B18 | 0916 (C#3 A5) 40 .... ... | .... .. ... . |
|    68 | 256E (C#5 BD) .. .... B5B | 2953 (D#5 BF) .. .... BA8 | 0716 (G#2 A0) .. .... ... | .... .. ... . |
|    69 | 22CF (C-5 BC) .. .... C84 | 20DB (B-4 BB) .. .... C38 | 0516 (D#2 9B) .. .... ... | .... .. ... . |
|    70 | 2025 (B-4 BB) .. .... DAD | 1BA0 (G#4 B8) .. .... CC8 | ....  ... ..  .. .... ... | .... .. ... . |
|    71 | 1D7B (A-4 B9) .. .... ED6 | 3741 (G#5 C4) .. .... D58 | 4116 (B-5 C7) 80 .... ... | .... .. ... . |
|    72 | 1AD1 (G-4 B7) .. .... FFF | 2953 (D#5 BF) .. .... CC8 | 0916 (C#3 A5) 40 .... ... | .... .. ... . |
|    73 | ....  ... ..  .. .... ... | ....  ... ..  .. .... ... | ....  ... ..  .. .... ... | .... .. ... . |
|    74 | 1167  C-4 B0  15 .... 099 | 0116  C-0 80  41 0F07 808 | 0116  C-0 80  41 .... ... | .... .. ... . |
|    75 | ....  ... ..  .. .... 1C2 | 4816 (C#6 C9) 81 .... ... | 4116 (B-5 C7) 81 .... ... | .... .. ... . |
|    76 | 136B (D-4 B2) .. .... 2EB | 1016 (B-3 AF) 41 .... ... | 0916 (C#3 A5) 41 .... ... | .... .. ... . |
|    77 | 156F (E-4 B4) 14 .... 414 | 0E16 (G#3 AC) 40 .... ... | 0716 (G#2 A0) 40 .... ... | .... .. ... . |
|    78 | 1773 (F-4 B5) .. .... 53D | 0C16 (F#3 AA) .. .... ... | 0516 (D#2 9B) .. .... ... | .... .. ... . |
|    79 | 156F (E-4 B4) .. .... 666 | ....  ... ..  .. .... ... | ....  ... ..  .. .... ... | .... .. ... . |
|    80 | 136B (D-4 B2) .. .... 78F | 4816 (C#6 C9) 80 .... ... | 4116 (B-5 C7) 80 .... ... | .... .. ... . |
|    81 | 1167 (C-4 B0) .. .... 8B8 | 1016 (B-3 AF) 40 .... ... | 0916 (C#3 A5) 40 .... ... | .... .. ... . |
|    82 | 0F58 (A#3 AE) .. .... 9E1 | 0E16 (G#3 AC) .. .... ... | 0716 (G#2 A0) .. .... ... | .... .. ... . |
|    83 | 0D49 (G-3 AB) .. .... B0A | 0C16 (F#3 AA) .. .... ... | 0516 (D#2 9B) .. .... ... | .... .. ... . |
|    84 | 0B3A (E-3 A8) .. .... B13 | ....  ... ..  .. .... ... | ....  ... ..  .. .... ... | .... .. ... . |
|    85 | 0D49 (G-3 AB) .. .... B1C | ....  ... ..  .. .... ... | 4116 (B-5 C7) 80 .... ... | .... .. ... . |
|    86 | 0F58 (A#3 AE) .. .... B25 | 1BA0  G#4 B8  41 0A0A 848 | 0916 (C#3 A5) 40 .... ... | .... .. ... . |
|    87 | 1167 (C-4 B0) .. .... B2E | 3741 (G#5 C4) .. .... 8D8 | 0716 (G#2 A0) .. .... ... | .... .. ... . |
|    88 | 1381 (D-4 B2) .. .... B37 | 2953 (D#5 BF) .. .... 968 | 0516 (D#2 9B) .. .... ... | .... .. ... . |
|    89 | 159B (E-4 B4) .. .... B40 | 20DB (B-4 BB) 40 .... 9F8 | ....  ... ..  .. .... ... | .... .. ... . |
|    90 | 17B5 (F-4 B5) .. .... B49 | 1BA0 (G#4 B8) .. .... A88 | 4116 (B-5 C7) 80 .... ... | .... .. ... . |
|    91 | 159B (E-4 B4) .. .... B52 | ....  ... ..  .. .... ... | 0916 (C#3 A5) 40 .... ... | .... .. ... . |
|    92 | 1381 (D-4 B2) .. .... B5B | 1BA0  G#4 B8  41 .... 848 | 0716 (G#2 A0) .. .... ... | .... .. ... . |
|    93 | 1167 (C-4 B0) .. .... C84 | 3741 (G#5 C4) .. .... 8D8 | 0516 (D#2 9B) .. .... ... | .... .. ... . |
|    94 | 0F42 (A#3 AE) .. .... DAD | 2953 (D#5 BF) .. .... 968 | ....  ... ..  .. .... ... | .... .. ... . |
|    95 | 0D1D (G-3 AB) .. .... ED6 | 20DB (B-4 BB) 40 .... 9F8 | 4116 (B-5 C7) 80 .... ... | .... .. ... . |
|    96 | 0AF8 (E-3 A8) .. .... FFF | 1BA0 (G#4 B8) .. .... A88 | 0916 (C#3 A5) 40 .... ... | .... .. ... . |
|    97 | ....  ... ..  .. .... ... | ....  ... ..  .. .... ... | ....  ... ..  .. .... ... | .... .. ... . |
|    98 | 8B3B  C-7 D4  15 .... 099 | 1BA0  G#4 B8  41 .... 848 | 0116  C-0 80  41 .... ... | .... .. ... . |
|    99 | ....  ... ..  .. .... 1C2 | 3741 (G#5 C4) .. .... 8D8 | 4116 (B-5 C7) 81 .... ... | .... .. ... . |
|   100 | 90DE (C#7 D5) .. .... 2EB | 2953 (D#5 BF) .. .... 968 | 0916 (C#3 A5) 41 .... ... | .... .. ... . |
|   101 | 9681 (+ 05A3) 14 .... 414 | 20DB (B-4 BB) 40 .... 9F8 | 0716 (G#2 A0) 40 .... ... | .... .. ... . |
|   102 | 9C24 (D-7 D6) .. .... 53D | 1BA0 (G#4 B8) .. .... A88 | 0516 (D#2 9B) .. .... ... | .... .. ... . |
|   103 | 9681 (C#7 D5) .. .... 666 | 3741 (G#5 C4) .. .... B18 | ....  ... ..  .. .... ... | .... .. ... . |
|   104 | 90DE (- 05A3) .. .... 78F | 2953 (D#5 BF) .. .... BA8 | 4116 (B-5 C7) 80 .... ... | .... .. ... . |
|   105 | 8B3B (C-7 D4) .. .... 8B8 | 20DB (B-4 BB) .. .... C38 | 0916 (C#3 A5) 40 .... ... | .... .. ... . |
|   106 | 858D (B-6 D3) .. .... 9E1 | 1BA0 (G#4 B8) .. .... CC8 | 0716 (G#2 A0) .. .... ... | .... .. ... . |
|   107 | 7FDF (- 05AE) .. .... B0A | 3741 (G#5 C4) .. .... D58 | 0516 (D#2 9B) .. .... ... | .... .. ... . |
|   108 | 7A31 (A#6 D2) .. .... B13 | 2953 (D#5 BF) .. .... CC8 | ....  ... ..  .. .... ... | .... .. ... . |
|   109 | 7FDF (B-6 D3) .. .... B1C | ....  ... ..  .. .... ... | 4116 (B-5 C7) 80 .... ... | .... .. ... . |
|   110 | 858D (+ 05AE) .. .... B25 | 1BA0  G#4 B8  41 .... 848 | 0916 (C#3 A5) 40 .... ... | .... .. ... . |
|   111 | 8B3B (C-7 D4) .. .... B2E | 3741 (G#5 C4) .. .... 8D8 | 0716 (G#2 A0) .. .... ... | .... .. ... . |
|   112 | 90F4 (C#7 D5) .. .... B37 | 2953 (D#5 BF) .. .... 968 | 0516 (D#2 9B) .. .... ... | .... .. ... . |
|   113 | 96AD (+ 05B9) .. .... B40 | 20DB (B-4 BB) 40 .... 9F8 | ....  ... ..  .. .... ... | .... .. ... . |
|   114 | 9C66 (D-7 D6) .. .... B49 | 1BA0 (G#4 B8) .. .... A88 | 4116 (B-5 C7) 80 .... ... | .... .. ... . |
|   115 | 96AD (C#7 D5) .. .... B52 | 3741 (G#5 C4) .. .... B18 | 0916 (C#3 A5) 40 .... ... | .... .. ... . |
|   116 | 90F4 (- 05B9) .. .... B5B | 2953 (D#5 BF) .. .... BA8 | 0716 (G#2 A0) .. .... ... | .... .. ... . |
|   117 | 8B3B (C-7 D4) .. .... C84 | 20DB (B-4 BB) .. .... C38 | 0516 (D#2 9B) .. .... ... | .... .. ... . |
|   118 | 8577 (B-6 D3) .. .... DAD | 1BA0 (G#4 B8) .. .... CC8 | ....  ... ..  .. .... ... | .... .. ... . |
|   119 | 7FB3 (A#6 D2) .. .... ED6 | 3741 (G#5 C4) .. .... D58 | 4116 (B-5 C7) 80 .... ... | .... .. ... . |
|   120 | 79EF (- 05C4) .. .... FFF | 2953 (D#5 BF) .. .... CC8 | 0916 (C#3 A5) 40 .... ... | .... .. ... . |
|   121 | ....  ... ..  .. .... ... | ....  ... ..  .. .... ... | ....  ... ..  .. .... ... | .... .. ... . |
|   122 | 459D  C-6 C8  15 .... 099 | 0116  C-0 80  41 0F07 808 | 0116  C-0 80  41 .... ... | .... .. ... . |
|   123 | ....  ... ..  .. .... 1C2 | 4816 (C#6 C9) 81 .... ... | 4116 (B-5 C7) 81 .... ... | .... .. ... . |
|   124 | 492F (C#6 C9) .. .... 2EB | 1016 (B-3 AF) 41 .... ... | 0916 (C#3 A5) 41 .... ... | .... .. ... . |
|   125 | 4CC1 (D-6 CA) 14 .... 414 | 0E16 (G#3 AC) 40 .... ... | 0716 (G#2 A0) 40 .... ... | .... .. ... . |
|   126 | 5053 (+ 0392) .. .... 53D | 0C16 (F#3 AA) .. .... ... | 0516 (D#2 9B) .. .... ... | .... .. ... . |
|   127 | 4CC1 (- 0392) .. .... 666 | ....  ... ..  .. .... ... | ....  ... ..  .. .... ... | .... .. ... . |
|   128 | 492F (C#6 C9) .. .... 78F | 4816 (C#6 C9) 80 .... ... | 4116 (B-5 C7) 80 .... ... | .... .. ... . |
|   129 | 459D (C-6 C8) .. .... 8B8 | 1016 (B-3 AF) 40 .... ... | 0916 (C#3 A5) 40 .... ... | .... .. ... . |
|   130 | 4200 (B-5 C7) .. .... 9E1 | 0E16 (G#3 AC) .. .... ... | 0716 (G#2 A0) .. .... ... | .... .. ... . |
|   131 | 3E63 (A#5 C6) .. .... B0A | 0C16 (F#3 AA) .. .... ... | 0516 (D#2 9B) .. .... ... | .... .. ... . |
|   132 | 3AC6 (A-5 C5) .. .... B13 | ....  ... ..  .. .... ... | ....  ... ..  .. .... ... | .... .. ... . |
|   133 | 3E63 (A#5 C6) .. .... B1C | ....  ... ..  .. .... ... | 4116 (B-5 C7) 80 .... ... | .... .. ... . |
|   134 | 4200 (B-5 C7) .. .... B25 | 0116  C-0 80  41 .... ... | 0916 (C#3 A5) 40 .... ... | .... .. ... . |
|   135 | 459D (C-6 C8) .. .... B2E | 4816 (C#6 C9) 81 .... ... | 0716 (G#2 A0) .. .... ... | .... .. ... . |
|   136 | 4945 (C#6 C9) .. .... B37 | 1016 (B-3 AF) 41 .... ... | 0516 (D#2 9B) .. .... ... | .... .. ... . |
|   137 | 4CED (D-6 CA) .. .... B40 | 0E16 (G#3 AC) 40 .... ... | ....  ... ..  .. .... ... | .... .. ... . |
|   138 | 5095 (D#6 CB) .. .... B49 | 0C16 (F#3 AA) .. .... ... | 4116 (B-5 C7) 80 .... ... | .... .. ... . |
|   139 | 4CED (D-6 CA) .. .... B52 | ....  ... ..  .. .... ... | 0916 (C#3 A5) 40 .... ... | .... .. ... . |
|   140 | 4945 (C#6 C9) .. .... B5B | 4816 (C#6 C9) 80 .... ... | 0716 (G#2 A0) .. .... ... | .... .. ... . |
|   141 | 459D (C-6 C8) .. .... C84 | 1016 (B-3 AF) 40 .... ... | 0516 (D#2 9B) .. .... ... | .... .. ... . |
|   142 | 41EA (B-5 C7) .. .... DAD | 0E16 (G#3 AC) .. .... ... | ....  ... ..  .. .... ... | .... .. ... . |
|   143 | 3E37 (A#5 C6) .. .... ED6 | 0C16 (F#3 AA) .. .... ... | 4116 (B-5 C7) 80 .... ... | .... .. ... . |
|   144 | 3A84 (A-5 C5) .. .... FFF | ....  ... ..  .. .... ... | 0916 (C#3 A5) 40 .... ... | .... .. ... . |
|   145 | ....  ... ..  .. .... ... | ....  ... ..  .. .... ... | ....  ... ..  .. .... ... | .... .. ... . |
