Load address: $8000 Init address: $8000 Play address: $8003
Calling initroutine with subtune 0
Calling playroutine for 3000 frames, starting from frame 0
Middle C frequency is $1168

| Frame | Freq Note/Abs WF ADSR Pul | Freq Note/Abs WF ADSR Pul | Freq Note/Abs WF ADSR Pul | FCut RC Typ V |
|    44 | 1BA0 (G#4 B8) .. .... 874 | 185D (F#4 B6) .. .... 988 | 19EB  ... ..  .. .... ... | .... .. ... . |
|    45 | 173B (F-4 B5) .. .... 904 | 17CC (F-4 B5) .. .... 948 | 19FB  ... ..  .. .... ... | .... .. ... . |
|    46 | 2E76 (F-5 C1) .. .... 994 | 173B (- 0091) .. .... 908 | 1A0B  ... ..  .. .... ... | .... .. ... . |
|    47 | 22CF (C-5 BC) .. .... 904 | 169F (- 009C) .. .... 8C8 | 1A1B  ... ..  .. .... ... | .... .. ... . |
|    48 | ....  ... ..  .. .... ... | 1603 (E-4 B4) .. .... 888 | 1A2B  ... ..  .. .... ... | .... .. ... . |
|    49 | 173B  F-4 B5  41 .... 484 | 169F (F-4 B5) .. .... 848 | 1A3B  ... ..  .. .... ... | .... .. ... . |
|    50 | 2E76 (F-5 C1) .. .... 514 | 173B (+ 009C) .. .... 888 | 1A4B  ... ..  .. .... ... | .... .. ... . |
|    51 | 22CF (C-5 BC) .. .... 5A4 | 17E2 (+ 00A7) .. .... 8C8 | 1A5B  ... ..  .. .... ... | .... .. ... . |
|    52 | 1BA0 (G#4 B8) 40 .... 634 | 1889 (F#4 B6) .. .... 908 | 1A6B  ... ..  .. .... ... | .... .. ... . |
|    53 | 173B (F-4 B5) .. .... 6C4 | 17E2 (F-4 B5) .. .... 948 | 1A7B  ... ..  .. .... ... | .... .. ... . |
|    54 | ....  ... ..  .. .... ... | 173B (- 00A7) .. .... 988 | 1A8B  ... ..  .. .... ... | .... .. ... . |
|    55 | 173B  F-4 B5  41 .... 484 | 1689 (E-4 B4) .. .... 9C8 | 1A9B  ... ..  .. .... ... | .... .. ... . |
|    56 | 2E76 (F-5 C1) .. .... 514 | 15D7 (- 00B2) .. .... 988 | 1AAB  ... ..  .. .... ... | .... .. ... . |
|    57 | 22CF (C-5 BC) .. .... 5A4 | 1689 (+ 00B2) .. .... 948 | 1ABB  ... ..  .. .... ... | .... .. ... . |
|    58 | 1BA0 (G#4 B8) 40 .... 634 | 173B (F-4 B5) .. .... 908 | 1ACB  ... ..  .. .... ... | .... .. ... . |
|    59 | 173B (F-4 B5) .. .... 6C4 | 17F8 (F#4 B6) .. .... 8C8 | 1ADB  ... ..  .. .... ... | .... .. ... . |
|    60 | ....  ... ..  .. .... ... | 18B5 (+ 00BD) .. .... 888 | 1AEB  ... ..  .. .... ... | .... .. ... . |
|    61 | 173B  F-4 B5  41 .... 484 | 17F8 (- 00BD) .. .... 848 | 1AFB  ... ..  .. .... ... | .... .. ... . |
|    62 | 2E76 (F-5 C1) .. .... 514 | 173B (F-4 B5) .. .... 888 | 1B0B  ... ..  .. .... ... | .... .. ... . |
|    63 | 22CF (C-5 BC) .. .... 5A4 | 1673 (E-4 B4) .. .... 8C8 | 1B1B  ... ..  .. .... ... | .... .. ... . |
|    64 | 1BA0 (G#4 B8) 40 .... 634 | 15AB (- 00C8) .. .... 908 | 1B2B  ... ..  .. .... ... | .... .. ... . |
|    65 | 173B (F-4 B5) .. .... 6C4 | 1673 (+ 00C8) .. .... 948 | 1B3B  ... ..  .. .... ... | .... .. ... . |
|    66 | 2E76 (F-5 C1) .. .... 754 | 173B (F-4 B5) .. .... 988 | 1B4B  ... ..  .. .... ... | .... .. ... . |
|    67 | 22CF (C-5 BC) .. .... 7E4 | 180E (F#4 B6) .. .... 9C8 | 1B5B  ... ..  .. .... ... | .... .. ... . |
|    68 | 1BA0 (G#4 B8) .. .... 874 | 18E1 (+ 00D3) .. .... 988 | 1B6B  ... ..  .. .... ... | .... .. ... . |
|    69 | 173B (F-4 B5) .. .... 904 | 180E (- 00D3) .. .... 948 | 1B7B  ... ..  .. .... ... | .... .. ... . |
|    70 | 2E76 (F-5 C1) .. .... 994 | 173B (F-4 B5) .. .... 908 | 1B8B  ... ..  .. .... ... | .... .. ... . |
|    71 | 22CF (C-5 BC) .. .... 904 | 165D (E-4 B4) .. .... 8C8 | 1B9B  ... ..  .. .... ... | .... .. ... . |
|    72 | ....  ... ..  .. .... ... | 157F (- 00DE) .. .... 888 | 1BAB  ... ..  .. .... ... | .... .. ... . |
|    73 | 0116  ... ..  00 0000 000 | 165D (+ 00DE) .. .... 848 | 1BBB  ... ..  .. .... ... | .... .. ... . |
|    74 | ....  ... ..  .. .... ... | 173B (F-4 B5) .. .... 888 | 1BCB  ... ..  .. .... ... | .... .. ... . |
|    75 | ....  ... ..  .. .... ... | 1824 (F#4 B6) .. .... 8C8 | 1BDB  ... ..  .. .... ... | .... .. ... . |
|    76 | ....  ... ..  .. .... ... | 190D (+ 00E9) .. .... 908 | 1BEB  ... ..  .. .... ... | .... .. ... . |
|    77 | ....  ... ..  .. .... ... | 1824 (- 00E9) .. .... 948 | 1BFB  ... ..  .. .... ... | .... .. ... . |
|    78 | ....  ... ..  .. .... ... | 173B (F-4 B5) .. .... 988 | 1C0B  ... ..  .. .... ... | .... .. ... . |
|    79 | ....  ... ..  .. .... ... | 1647 (E-4 B4) .. .... 9C8 | 1C1B  ... ..  .. .... ... | .... .. ... . |
|    80 | ....  ... ..  .. .... ... | 1553 (- 00F4) .. .... 988 | 1C2B  ... ..  .. .... ... | .... .. ... . |
|    81 | ....  ... ..  .. .... ... | 1647 (+ 00F4) .. .... 948 | 1C3B  ... ..  .. .... ... | .... .. ... . |
|    82 | ....  ... ..  .. .... ... | 173B (F-4 B5) .. .... 908 | 1C4B  ... ..  .. .... ... | .... .. ... . |
|    83 | ....  ... ..  .. .... ... | 183A (F#4 B6) .. .... 8C8 | 1C5B  ... ..  .. .... ... | .... .. ... . |
|    84 | ....  ... ..  .. .... ... | 1939 (+ 00FF) .. .... 888 | 1C6B  ... ..  .. .... ... | .... .. ... . |
|    85 | 173B  F-4 B5  41 0F06 484 | 183A (- 00FF) .. .... 848 | 1C7B  ... ..  .. .... ... | .... .. ... . |
|    86 | 2E76 (F-5 C1) .. .... 514 | 173B (F-4 B5) .. .... 888 | 1C8B  ... ..  .. .... ... | .... .. ... . |
|    87 | 22CF (C-5 BC) .. .... 5A4 | 1631 (E-4 B4) .. .... 8C8 | 1C9B  ... ..  .. .... ... | .... .. ... . |
|    88 | 1BA0 (G#4 B8) 40 .... 634 | 1527 (D#4 B3) .. .... 908 | 1CAB  ... ..  .. .... ... | .... .. ... . |
|    89 | 173B (F-4 B5) .. .... 6C4 | 1631 (E-4 B4) .. .... 948 | 1CBB  ... ..  .. .... ... | .... .. ... . |
|    90 | 2E76 (F-5 C1) .. .... 754 | 173B (F-4 B5) .. .... 988 | 1CCB  ... ..  .. .... ... | .... .. ... . |
|    91 | 22CF (C-5 BC) .. .... 7E4 | 1850 (F#4 B6) .. .... 9C8 | 1CDB  ... ..  .. .... ... | .... .. ... . |
|    92 | 1BA0 (G#4 B8) .. .... 874 | 1965 (G-4 B7) .. .... 988 | 1CEB  ... ..  .. .... ... | .... .. ... . |
|    93 | 173B (F-4 B5) .. .... 904 | 1850 (F#4 B6) .. .... 948 | 1CFB  ... ..  .. .... ... | .... .. ... . |
|    94 | 2E76 (F-5 C1) .. .... 994 | 173B (F-4 B5) .. .... 908 | 1D0B  ... ..  .. .... ... | .... .. ... . |
|    95 | 22CF (C-5 BC) .. .... 904 | 161B (E-4 B4) .. .... 8C8 | 1D1B  ... ..  .. .... ... | .... .. ... . |
|    96 | ....  ... ..  .. .... ... | ....  ... ..  .. .... ... | 1D2B  ... ..  .. .... ... | .... .. ... . |
|    97 | 173B  F-4 B5  41 .... 484 | 22CF  C-5 BC  21 .... 848 | 1D3B  ... ..  .. .... ... | .... .. ... . |
|    98 | 2E76 (F-5 C1) .. .... 514 | ....  ... ..  .. .... 888 | 1D4B  ... ..  .. .... ... | .... .. ... . |
|    99 | 22CF (C-5 BC) .. .... 5A4 | 22F7 (+ 0028) .. .... 8C8 | 1D5B  ... ..  .. .... ... | .... .. ... . |
|   100 | 1BA0 (G#4 B8) 40 .... 634 | 231F (+ 0028) 20 .... 908 | 1D6B  ... ..  .. .... ... | .... .. ... . |
|   101 | 173B (F-4 B5) .. .... 6C4 | 22F7 (- 0028) .. .... 948 | 1D7B  ... ..  .. .... ... | .... .. ... . |
|   102 | ....  ... ..  .. .... ... | 22CF (- 0028) .. .... 988 | 1D8B  ... ..  .. .... ... | .... .. ... . |
|   103 | 173B  F-4 B5  41 .... 484 | 229C (- 0033) .. .... 9C8 | 1D9B  ... ..  .. .... ... | .... .. ... . |
|   104 | 2E76 (F-5 C1) .. .... 514 | 2269 (- 0033) .. .... 988 | 1DAB  ... ..  .. .... ... | .... .. ... . |
|   105 | 22CF (C-5 BC) .. .... 5A4 | 229C (+ 0033) .. .... 948 | 1DBB  ... ..  .. .... ... | .... .. ... . |
|   106 | 1BA0 (G#4 B8) 40 .... 634 | 22CF (+ 0033) .. .... 908 | 1DCB  ... ..  .. .... ... | .... .. ... . |
|   107 | 173B (F-4 B5) .. .... 6C4 | 230D (+ 003E) .. .... 8C8 | 1DDB  ... ..  .. .... ... | .... .. ... . |
|   108 | ....  ... ..  .. .... ... | 234B (+ 003E) .. .... 888 | ....  ... ..  .. .... ... | .... .. ... . |
