Load address: $A000 Init address: $C000 Play address: $C020
Calling initroutine with subtune 0
Calling playroutine for 3000 frames, starting from frame 0
Middle C frequency is $1168

| Frame | Freq Note/Abs WF ADSR Pul | Freq Note/Abs WF ADSR Pul | Freq Note/Abs WF ADSR Pul | FCut RC Typ V |
|    45 | 2965 (+ 0040) .. .... B20 | 029E  ... ..  .. .... ... | 029E  ... ..  .. .... ... | .... .. ... . |
|    46 | 29A5 (+ 0040) .. .... B40 | 0235  ... ..  .. .... ... | 0235  ... ..  .. .... ... | .... .. ... . |
|    47 | 29E5 (+ 0040) .. .... B60 | 01C2  ... ..  .. .... ... | 01C2  ... ..  .. .... ... | .... .. ... . |
|    48 | 2A25 (+ 0040) .. .... B80 | 037C  ... ..  .. .... ... | 037C  ... ..  .. .... ... | .... .. ... . |
|    49 | 29E5 (- 0040) .. .... BA0 | 029E  ... ..  .. .... ... | 029E  ... ..  .. .... ... | .... .. ... . |
|    50 | 29A5 (- 0040) .. .... BC0 | 0235  ... ..  .. .... ... | 0235  ... ..  .. .... ... | .... .. ... . |
|    51 | 2965 (- 0040) .. .... BE0 | 01C2  ... ..  .. .... ... | 01C2  ... ..  .. .... ... | .... .. ... . |
|    52 | 2925 (- 0040) .. .... C00 | 037C  ... ..  .. .... ... | 037C  ... ..  .. .... ... | .... .. ... . |
|    53 | 28E5 (- 0040) .. .... C20 | 029E  ... ..  .. .... ... | 029E  ... ..  .. .... ... | .... .. ... . |
|    54 | 2925 (+ 0040) .. .... C40 | 0235  ... ..  .. .... ... | 0235  ... ..  .. .... ... | .... .. ... . |
|    55 | 2965 (+ 0040) .. .... ... | 01C2  ... ..  .. .... ... | 01C2  ... ..  .. .... ... | .... .. ... . |
|    56 | 29A5 (+ 0040) .. .... C20 | 037C  ... ..  .. .... ... | 037C  ... ..  .. .... ... | .... .. ... . |
|    57 | 29E5 (+ 0040) .. .... C00 | 029E  ... ..  .. .... ... | 029E  ... ..  .. .... ... | .... .. ... . |
|    58 | 2A25 (+ 0040) .. .... BE0 | 0235  ... ..  .. .... ... | 0235  ... ..  .. .... ... | .... .. ... . |
|    59 | 29E5 (- 0040) .. .... BC0 | 01C2  ... ..  .. .... ... | 01C2  ... ..  .. .... ... | .... .. ... . |
|    60 | 29A5 (- 0040) .. .... BA0 | 037C  ... ..  .. .... ... | 037C  ... ..  .. .... ... | .... .. ... . |
|    61 | 2965 (- 0040) .. .... B80 | 029E  ... ..  .. .... ... | 029E  ... ..  .. .... ... | .... .. ... . |
|    62 | 2925 (- 0040) .. .... B60 | 0235  ... ..  .. .... ... | 0235  ... ..  .. .... ... | .... .. ... . |
|    63 | 28E5 (- 0040) .. .... B40 | 01C2  ... ..  .. .... ... | 01C2  ... ..  .. .... ... | .... .. ... . |
|    64 | 2925 (+ 0040) .. .... B20 | 037C  ... ..  .. .... ... | 037C  ... ..  .. .... ... | .... .. ... . |
|    65 | 2965 (+ 0040) .. .... B00 | 029E  ... ..  .. .... ... | 029E  ... ..  .. .... ... | .... .. ... . |
|    66 | 29A5 (+ 0040) .. .... AE0 | 0235  ... ..  .. .... ... | 0235  ... ..  .. .... ... | .... .. ... . |
|    67 | 29E5 (+ 0040) .. .... AC0 | 01C2  ... ..  .. .... ... | 01C2  ... ..  .. .... ... | .... .. ... . |
|    68 | 2A25 (+ 0040) .. .... AA0 | 037C  ... ..  .. .... ... | 037C  ... ..  .. .... ... | .... .. ... . |
|    69 | 29E5 (- 0040) .. .... A80 | 029E  ... ..  .. .... ... | 029E  ... ..  .. .... ... | .... .. ... . |
|    70 | 29A5 (- 0040) .. .... A60 | 0235  ... ..  .. .... ... | 0235  ... ..  .. .... ... | .... .. ... . |
|    71 | 2965 (- 0040) .. .... A40 | 01C2  ... ..  .. .... ... | 01C2  ... ..  .. .... ... | .... .. ... . |
|    72 | 2925 (- 0040) .. .... A20 | 037C  ... ..  .. .... ... | 037C  ... ..  .. .... ... | .... .. ... . |
|    73 | 28E5 (- 0040) .. .... A00 | 029E  ... ..  .. .... ... | 029E  ... ..  .. .... ... | .... .. ... . |
|    74 | 2925 (+ 0040) .. .... 9E0 | 0235  ... ..  .. .... ... | 0235  ... ..  .. .... ... | .... .. ... . |
|    75 | 2965 (+ 0040) .. .... 9C0 | 01C2  ... ..  .. .... ... | 01C2  ... ..  .. .... ... | .... .. ... . |
|    76 | 29A5 (+ 0040) .. .... 9A0 | 037C  ... ..  .. .... ... | 037C  ... ..  .. .... ... | .... .. ... . |
|    77 | 29E5 (+ 0040) .. .... 980 | 029E  ... ..  .. .... ... | 029E  ... ..  .. .... ... | .... .. ... . |
|    78 | 2A25 (+ 0040) .. .... 960 | 0235  ... ..  .. .... ... | 0235  ... ..  .. .... ... | .... .. ... . |
|    79 | 29E5 (- 0040) .. .... 940 | 01C2  ... ..  .. .... ... | 01C2  ... ..  .. .... ... | .... .. ... . |
|    80 | 29A5 (- 0040) .. .... 920 | 037C  ... ..  .. .... ... | 037C  ... ..  .. .... ... | .... .. ... . |
|    81 | 2965 (- 0040) .. .... 900 | 029E  ... ..  .. .... ... | 029E  ... ..  .. .... ... | .... .. ... . |
|    82 | 2925 (- 0040) .. .... 8E0 | 0235  ... ..  .. .... ... | 0235  ... ..  .. .... ... | .... .. ... . |
|    83 | 28E5 (- 0040) .. .... 8C0 | 01C2  ... ..  .. .... ... | 01C2  ... ..  .. .... ... | .... .. ... . |
|    84 | 2925 (+ 0040) .. .... 8A0 | 037C  ... ..  .. .... ... | 037C  ... ..  .. .... ... | .... .. ... . |
|    85 | 2965 (+ 0040) .. .... 880 | 029E  ... ..  .. .... ... | 029E  ... ..  .. .... ... | .... .. ... . |
|    86 | 29A5 (+ 0040) .. .... 860 | 0235  ... ..  .. .... ... | 0235  ... ..  .. .... ... | .... .. ... . |
|    87 | 29E5 (+ 0040) .. .... 840 | 01C2  ... ..  .. .... ... | 01C2  ... ..  .. .... ... | .... .. ... . |
|    88 | 2A25 (+ 0040) .. .... 820 | 037C  ... ..  .. .... ... | 037C  ... ..  .. .... ... | .... .. ... . |
|    89 | 29E5 (- 0040) .. .... 800 | 029E  ... ..  .. .... ... | 029E  ... ..  .. .... ... | .... .. ... . |
|    90 | 29A5 (- 0040) .. .... 7E0 | 0235  ... ..  .. .... ... | 0235  ... ..  .. .... ... | .... .. ... . |
|    91 | 2965 (- 0040) .. .... 7C0 | 01C2  ... ..  .. .... ... | 01C2  ... ..  .. .... ... | .... .. ... . |
|    92 | 2925 (- 0040) .. .... 7A0 | 037C  ... ..  .. .... ... | 037C  ... ..  .. .... ... | .... .. ... . |
|    93 | 28E5 (- 0040) .. .... 780 | 029E  ... ..  .. .... ... | 029E  ... ..  .. .... ... | .... .. ... . |
|    94 | 2925 (+ 0040) .. .... 760 | 0235  ... ..  .. .... ... | 0235  ... ..  .. .... ... | .... .. ... . |
|    95 | 2965 (+ 0040) .. .... 740 | 01C2  ... ..  .. .... ... | 01C2  ... ..  .. .... ... | .... .. ... . |
|    96 | 29A5 (+ 0040) .. .... 720 | 037C  ... ..  .. .... ... | 037C  ... ..  .. .... ... | .... .. ... . |
