Load address: $A000 Init address: $C000 Play address: $C020
Calling initroutine with subtune 0
Calling playroutine for 3000 frames, starting from frame 0
Middle C frequency is $1168

| Frame | Freq Note/Abs WF ADSR Pul | Freq Note/Abs WF ADSR Pul | Freq Note/Abs WF ADSR Pul | FCut RC Typ V |
|    42 | D40D (- 00BB) .. .... ... | 0146 (D#0 83) .. .... ... | 173B (F-4 B5) .. .... D50 | .... .. ... . |
|    43 | 0AF7  E-3 A8  41 .... ... | 1389 (D-4 B2) .. .... ... | 2E76 (F-5 C1) .. .... 900 | .... .. ... . |
|    44 | ....  ... ..  .. .... ... | 118A (C-4 B0) .. .... ... | 22CF (C-5 BC) .. .... 930 | .... .. ... . |
|    45 | ....  ... ..  .. .... ... | 0F8B (A#3 AE) .. .... ... | 1D45 (A-4 B9) .. .... 960 | .... .. ... . |
|    46 | ....  ... ..  80 .... ... | 0D8C (G#3 AC) .. .... ... | 173B (F-4 B5) .. .... 990 | .... .. ... . |
|    47 | D4C8 (G-7 DB) .. .... ... | 0B8D (F-3 A9) .. .... ... | 2E76 (F-5 C1) .. .... 9C0 | .... .. ... . |
|    48 | D40D (- 00BB) .. .... ... | 098E (D-3 A6) .. .... ... | 22CF (C-5 BC) .. .... 9F0 | .... .. ... . |
|    49 | D4C8 (+ 00BB) .. .... ... | 1389 (D-4 B2) .. .... ... | 1D45 (A-4 B9) .. .... A20 | .... .. ... . |
|    50 | D40D (- 00BB) .. .... ... | 118A (C-4 B0) .. .... ... | 173B (F-4 B5) .. .... A50 | .... .. ... . |
|    51 | 0AF7 (E-3 A8) .. .... ... | 0F8B (A#3 AE) .. .... ... | 2E76 (F-5 C1) .. .... A80 | .... .. ... . |
|    52 | ....  ... ..  .. .... ... | 0D8C (G#3 AC) .. .... ... | 22CF (C-5 BC) .. .... AB0 | .... .. ... . |
|    53 | ....  ... ..  .. .... ... | 0B8D (F-3 A9) .. .... ... | 1D45 (A-4 B9) .. .... AE0 | .... .. ... . |
|    54 | ....  ... ..  .. .... ... | 098E (D-3 A6) .. .... ... | 173B (F-4 B5) .. .... B10 | .... .. ... . |
